"",""
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"Create New Post","Create New Post"
"Delete Post","Delete Post"
"Edit Post '%1'","Edit Post '%1'"
"Featured Image","Featured Image"
"ID","ID"
"Name","Name"
"New Post","New Post"
"Please Select Posts.","Please Select Posts."
"Post %1","Post %1"
"Post Content","Post Content"
"Post Information","Post Information"
"Post to delete was not found.","Post to delete was not found."
"Post","Post"
"Posts","Posts"
"Sample Country Selection","Sample Country Selection"
"Sample File","Sample File"
"Sample Multiselect","Sample Multiselect"
"Save Post","Save Post"
"Save and Continue Edit","Save and Continue Edit"
"Something went wrong while saving the Post.","Something went wrong while saving the Post."
"Status","Status"
"Tags","Tags"
"The Post has been deleted.","The Post has been deleted."
"The Post has been saved.","The Post has been saved."
"This Post no longer exists.","This Post no longer exists."
"URL Key","URL Key"
